Date_Time,Year,Month,Day,Hour,Minute,Day_Night,Departure_Location,Arrival_Location,Number_of_Passengers,Seat_Selection,Bus_Type,Customer_ID,Contact_Email,Contact_Phone,Ticket_Price,Payment_Method,Transaction_ID,Bus_Operator,Bus_ID,Departure_Time,Route_Info,Coupon_Code,Discount_Percentage,Cancellation_Time,Refund_Amount,Review_Text,Rating,Popular_Destinations,Regional_Trends,Bus_Occupancy,Punctuality,Peak_Travel_Seasons,Gender,Device_Type,Operating_System,Browser
2023-02-28 14:05:49,2023,2,28,14,5,Day,Thoothukudi,Salem,1,"15, 21",Volvo AC,980712,customer78@example.com,+123456736089,196.71,Debit Card,7161613870,ABT X Travels,BUS272,2024-09-30 01:18:58,"Salem, Coimbatore, Vellore",DISCOUNT11,17,2024-12-07 16:03:16,11.28,Experience was average!,4.8,"Pollachi, Erode",Region 1: Higher booking volume in this region,0.98,On-time performance is 74%,"Season 5, Season 2",Female,Tablet,macOS,Edge
2020-08-14 11:59:24,2020,8,14,11,59,Day,Chennai,Chennai,4,"19, 8",Volvo AC,861125,customer45@example.com,+123456738789,205.08,Credit Card,9044530749,Universal Travels,BUS433,2024-08-09 02:42:45,"Ranipet, Dindigul, Tiruchirappalli, Thoothukudi",DISCOUNT13,6,2024-05-02 00:13:42,22.37,Experience was excellent!,4.2,"Pollachi, Rajapalayam, Erode",Region 1: Higher booking volume in this region,0.78,On-time performance is 80%,"Season 1, Season 4",Male,Mobile,iOS,Firefox
2021-05-27 11:44:13,2021,5,27,11,44,Day,Nagercoil,Dindigul,3,"1, 28",Scania AC,260950,customer60@example.com,+123456740789,158.34,Credit Card,1654623864,SRM Transports,BUS783,2023-10-31 07:30:48,"Salem, Kumbakonam",DISCOUNT2,6,2024-08-03 22:09:47,42.01,Experience was good!,4.9,"Madurai, Chennai, Rajapalayam, Erode, Kancheepuram",Region 2: Higher booking volume in this region,0.54,On-time performance is 81%,"Season 3, Season 7",Male,Mobile,macOS,Safari
2022-03-24 21:14:42,2022,3,24,21,14,Night,Chennai,Vellore,2,"3, 10",Double Decker AC/Non-AC,214663,customer73@example.com,+123456779989,54.47,Debit Card,5512416126,Sharma Transports,BUS669,2024-10-19 00:32:28,"Salem, Pollachi, Nagercoil, Thoothukudi",DISCOUNT15,13,2023-06-02 15:41:51,48.82,Experience was good!,4.8,"Madurai, Tirunelveli, Kumbakonam, Erode",Region 1: Higher booking volume in this region,0.97,On-time performance is 94%,"Season 5, Season 3",Female,Tablet,macOS,Chrome
2020-04-26 16:38:17,2020,4,26,16,38,Day,Dindigul,Kancheepuram,3,"5, 24",Semi-Sleeper Non-AC,473099,customer98@example.com,+123456762989,115.23,Credit Card,8639993422,ABT X Travels,BUS165,2024-11-15 15:11:13,"Kumbakonam, Dindigul, Vellore",DISCOUNT4,20,2023-06-29 08:51:19,36.67,Experience was excellent!,5.0,"Pollachi, Thanjavur, Thoothukudi, Kumbakonam",Region 4: Higher booking volume in this region,0.93,On-time performance is 77%,"Season 5, Season 1",Female,Mobile,Windows,Opera
2021-04-26 13:30:28,2021,4,26,13,30,Day,Kancheepuram,Neyveli,1,"17, 19",Party Buses,886242,customer25@example.com,+123456752089,142.81,Credit Card,1390355881,Ramu Travels,BUS920,2023-08-18 15:04:42,"Coimbatore, Pollachi, Kancheepuram, Nagercoil, Ranipet",DISCOUNT17,15,2024-04-14 10:44:02,30.81,Experience was excellent!,3.5,"Cuddalore, Rajapalayam, Neyveli, Madurai",Region 5: Higher booking volume in this region,0.53,On-time performance is 73%,"Season 5, Season 1",Male,Mobile,iOS,Safari
2019-03-11 06:53:14,2019,3,11,6,53,Day,Kancheepuram,Pollachi,3,"13, 10",Scania AC,724960,customer49@example.com,+123456791889,116.47,Debit Card,7284884982,Universal Travels,BUS520,2023-05-22 08:32:37,"Neyveli, Tiruchirappalli, Cuddalore, Ranipet",DISCOUNT15,14,2023-05-12 03:37:42,22.18,Experience was average!,4.8,"Erode, Tirunelveli",Region 2: Higher booking volume in this region,0.71,On-time performance is 80%,"Season 6, Season 2",Male,Tablet,Windows,Firefox
2019-05-08 00:14:07,2019,5,8,0,14,Night,Erode,Nagercoil,2,"10, 2",Non-AC Sleeper,913972,customer17@example.com,+123456727389,259.36,Net Banking,5638703375,MJT Travels,BUS558,2023-02-04 23:03:15,"Pollachi, Kumbakonam, Erode, Karur, Salem",DISCOUNT12,11,2024-10-15 21:06:24,31.96,Experience was good!,4.5,"Chennai, Thanjavur, Karur, Neyveli, Ranipet",Region 3: Higher booking volume in this region,1.0,On-time performance is 70%,"Season 1, Season 2",Female,Desktop,iOS,Safari
2019-03-10 19:10:18,2019,3,10,19,10,Night,Erode,Tiruchirappalli,2,"5, 2",AC Sleeper,286370,customer71@example.com,+123456757289,203.74,Net Banking,9434347684,Bharathi Travels,BUS354,2023-04-01 10:15:01,"Pollachi, Madurai, Tirunelveli, Tiruchirappalli",DISCOUNT14,14,2023-03-11 18:27:13,39.04,Experience was excellent!,4.0,"Thoothukudi, Rajapalayam, Neyveli, Nagercoil",Region 3: Higher booking volume in this region,0.6,On-time performance is 70%,"Season 7, Season 2",Female,Mobile,Android,Safari
2021-08-16 18:12:52,2021,8,16,18,12,Night,Erode,Chennai,4,"16, 29",Regular Non-AC,613079,customer64@example.com,+123456741589,126.26,Debit Card,1552836683,KPN Travels,BUS489,2023-07-19 08:11:15,"Tiruchirappalli, Ranipet, Coimbatore, Cuddalore",DISCOUNT10,19,2023-01-17 13:50:19,36.89,Experience was average!,4.0,"Madurai, Thoothukudi",Region 2: Higher booking volume in this region,0.95,On-time performance is 83%,"Season 3, Season 7",Female,Tablet,Android,Safari
